duration,rms_mean,rms_std,spectral_centroid_mean,spectral_bandwidth_mean,spectral_flatness_mean,zcr_mean,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,chroma_std_mean,label,source
0.0725,0.0071502016,0.0020920958,728.3018503550454,1464.005435885219,0.0039083585,0.00244140625,-611.1676,110.878784,45.26871,36.372345,23.043865,14.515089,6.1457577,2.4527063,0.71167254,2.5437453,1.3988948,3.8298178,3.214492,0.12750363,sb,23M74M
0.136875,0.0056870054,0.0024601342,423.6306536450811,1078.3456002015612,0.001383064,0.005929129464285714,-709.28485,126.739845,76.48949,51.739746,27.953678,13.539119,1.6233559,0.8596515,-0.85669845,2.2170606,-0.3529261,4.348099,3.82612,0.09841612,mb,23M74M
0.1315,0.013151738,0.0078168735,497.7288731462313,1215.7362987009508,0.0008668255,0.0012555803571428572,-616.99316,120.42692,41.715515,24.514984,17.875418,16.561003,9.2944355,6.031274,9.216962,8.194068,3.8126886,6.8100195,5.5537453,0.0740119,mb,23M74M
0.0751875,0.0036347886,0.0003615931,668.5262422817918,1390.8110853508028,0.0020861055,0.0081787109375,-650.44507,122.849884,58.760284,42.6203,25.213575,12.027602,0.6544373,-0.17032576,-2.876481,-2.2341607,-1.729084,1.9536202,2.023097,0.15032892,sb,23M74M
0.0725,0.007585782,0.0024372826,555.9628847047873,1294.61672629249,0.0020444235,0.000732421875,-653.0154,114.20384,51.835686,38.958515,24.058393,12.022121,6.1906257,3.745383,2.494588,4.9102573,6.9033866,6.6563077,5.611008,0.055020437,sb,23M74M
0.064375,0.0035857218,0.00048666497,639.2975631407259,1261.063780369285,0.00092344504,0.004743303571428571,-644.741,146.09789,31.85343,-1.1753031,-5.245936,1.8380517,7.395656,16.709385,24.75982,23.161558,7.308739,-2.1644428,-5.469512,0.20209788,sb,23M74M
0.314,0.006578978,0.002472556,418.0305499128881,990.3219468339988,0.00080929615,0.005859375,-685.6792,148.9212,64.83235,25.349754,10.013136,4.456375,1.8385973,8.568056,10.123546,11.119908,1.558566,-2.8033776,-3.9672034,0.203521,mb,23M74M
0.257625,0.0048374403,0.0015308999,385.46799436836784,1070.4526404707979,0.0007064973,0.004281850961538462,-728.7817,126.14433,70.96632,39.534424,18.273382,13.517595,6.398345,8.030885,9.954879,16.437971,9.201633,4.060873,-4.171597,0.12390461,mb,23M74M
0.06975,0.0077158,0.0016794436,568.9228291050193,1225.0734808847849,0.0017823761,0.0030691964285714285,-619.00653,142.95132,55.599354,30.798937,13.669661,9.288801,4.0995708,6.927025,8.745656,12.016347,7.2798395,2.2212417,-1.5372875,0.108580925,sb,23M74M
0.0751875,0.0018383958,0.00019341422,877.5164343414693,1533.5588564121113,0.005780094,0.014404296875,-652.40137,130.07635,53.88144,29.877224,5.932499,-1.0862756,-2.888997,5.634761,12.735366,12.281556,4.535031,6.5999827,2.7531672,0.12369772,sb,23M74M
0.0831875,0.007131698,0.0025960603,421.2635328894505,1113.934321564659,0.00036850187,0.002712673611111111,-702.34784,125.36872,72.38624,51.058765,27.672142,14.419545,1.5280751,-0.72627443,-2.7162395,3.8074121,-1.8850507,-1.7406461,-4.1671853,0.15973826,sb,23M74M
0.0885625,0.0066051967,0.0026793776,537.1273690618901,1212.3682341226056,0.0015575235,0.0048828125,-679.42065,119.95344,63.772568,48.68221,27.186087,14.658413,3.5826082,2.1775126,-3.668232,-2.724346,-3.6720362,-0.34152687,-0.3093231,0.18568903,sb,23M74M
0.077875,0.007593626,0.0016667603,401.4764959333025,1112.397831938264,0.0005636055,0.0010986328125,-726.14325,115.240036,64.87501,46.675407,25.831451,16.308548,1.9847288,-1.3808281,-0.5021552,4.7766614,6.090646,10.930908,11.742691,0.06081152,sb,23M74M
0.2469375,0.009285757,0.0032641797,295.97043724259913,925.5192032981041,0.0002021423,0.001484375,-717.04834,128.74524,67.8594,38.179382,22.153875,8.712627,-5.099306,-1.014782,10.121594,21.818945,13.705409,9.829668,7.0814877,0.1074421,mb,23M74M
0.1288125,0.0057018204,0.0018721069,422.9907956272677,1094.4958942848252,0.0003015626,0.006610576923076923,-681.8917,137.26398,67.63789,36.05161,14.846654,1.4939128,-9.422268,-1.3948065,5.5163975,15.361627,8.369115,1.6100311,-3.4304585,0.21118079,mb,23M74M
0.560875,0.008571811,0.004281159,297.37291246681565,946.517086989535,0.00037300077,0.004420230263157895,-738.8923,118.445496,78.91282,50.665733,26.035591,13.617291,4.869564,7.270714,8.676251,12.634938,8.987456,7.0488734,2.7734787,0.15492994,mb,23M74M
0.075125,0.0028098922,0.0006759678,598.4009513575119,1326.300833307075,0.0018939273,0.0147705078125,-689.65955,119.17483,58.376003,46.404243,30.948616,20.78091,6.940752,3.5014822,0.7497275,-0.12586099,-4.6048884,-4.9992476,-7.166864,0.12781298,sb,23M74M
0.0724375,0.005216791,0.0017186691,571.371023089049,1269.9795126890358,0.0009903919,0.00439453125,-641.8566,134.47874,52.57361,28.209274,5.0271482,0.37037492,4.0279098,14.94907,17.581451,17.69455,8.234783,0.79507196,-3.4074478,0.08310316,sb,23M74M
0.0805,0.002670551,0.00062687177,601.9973261484353,1326.151443808974,0.0015628235,0.004774305555555556,-702.92664,128.30074,63.2242,38.744488,13.5637665,8.427412,2.1239662,7.2271338,5.4633107,9.866177,2.696584,4.222463,0.120568275,0.1634103,sb,23M74M
0.6440625,0.008753419,0.0033703987,253.99750548483112,878.8719251060379,6.537189e-05,0.0021935096153846154,-739.3598,131.01491,84.46066,48.7638,19.448885,3.3329701,-5.2037153,-1.3589761,-1.2346972,4.1230373,2.8905613,8.123735,7.212374,0.15152733,mb,23M74M
0.5045625,0.011840248,0.0037146306,354.8809049154046,674.3109011509936,0.00033421215,0.02420343137254902,-661.137,190.36656,91.69521,36.89248,13.217055,-1.687041,-18.638609,-13.789261,-5.1272516,-1.6518841,-8.068363,-4.456664,0.6074994,0.29507494,h,23M74M
0.136875,0.009649192,0.0033542668,436.73450542085726,776.6010278040224,0.00063172885,0.02685546875,-592.62317,209.44807,54.98924,10.277542,15.630384,6.631522,-20.735674,-8.586491,12.776761,11.41662,-9.338725,-11.367806,-0.29044023,0.22498055,mb,23M74M
0.204,0.003292838,0.0011888418,515.8447281819002,1180.104525685055,0.00094016624,0.0087890625,-705.01965,145.0531,64.56607,27.650364,10.500816,1.9802464,-15.195895,-3.355702,10.1081915,19.88109,5.60393,2.18152,3.3561816,0.16254301,mb,23M74M
0.0831875,0.0063334396,0.0010198865,588.5441445760148,1342.5367998560105,0.0012196063,0.007378472222222222,-643.3276,112.527824,50.47807,39.753384,22.74202,14.443442,6.0307903,4.062786,3.5450983,3.224055,1.6999599,5.748422,1.3975916,0.1199419,sb,23M74M
0.166375,0.003293371,0.00059757405,472.34228678458106,1203.1176110098331,0.000596017,0.004365808823529412,-714.175,126.978645,71.15102,45.2587,20.679127,7.8993073,-1.4288611,2.0099564,1.9178761,8.723087,5.844301,5.272435,-0.27210063,0.16090888,mb,23M74M
0.064,0.008211976,0.0011670332,747.6377891805868,1345.3468737183853,0.0020618925,0.0012555803571428572,-533.86804,145.16792,7.666386,28.345123,11.464309,-5.5476313,7.6418633,9.112343,6.6339517,12.554216,6.367625,0.70894915,2.5004177,0.12051925,sb,23M74M
0.06975,0.0088462755,0.000989974,548.205332813,1079.7712803063175,0.0008963224,0.005859375,-587.0324,171.80936,38.206417,8.3955555,13.286576,8.599502,-11.110072,-7.8062277,6.9236984,10.374957,0.84445226,5.565785,11.199336,0.12501177,sb,23M74M
0.0831875,0.010565776,0.006073506,551.8691562996189,1247.2414239548716,0.0011398699,0.004014756944444444,-605.9561,134.00111,39.032925,19.087534,14.634157,9.851807,5.094163,9.561741,11.366311,8.341329,3.6277685,5.5932903,5.924872,0.123401225,sb,23M74M
0.0831875,0.0061229947,0.00197302,417.46930007021814,1098.9652725946803,0.00022696753,0.0014105902777777778,-665.19965,147.40546,44.598423,15.636951,12.825999,6.891472,-1.4057882,7.451694,13.378479,13.366738,2.7362545,2.314621,2.578362,0.06557098,sb,23M74M
